asof_date,raw_close,raw_return_1d,ret_3,ret_6,target_label,target_eval_start,leakage_free_verified
2024-07-05 09:45:00,7085.0,0.0007,-0.0012,0.0001,0.0,2024-07-05 09:50:00,True (Target evaluated after asof_date)
2024-07-05 09:50:00,7069.95,-0.0021,-0.0,-0.0018,0.0,2024-07-05 09:55:00,True (Target evaluated after asof_date)
2024-07-05 09:55:00,7070.0,0.0,-0.0014,-0.0035,0.0,2024-07-05 10:00:00,True (Target evaluated after asof_date)
2024-07-05 10:00:00,7070.0,0.0,-0.0021,-0.0033,0.0,2024-07-05 10:05:00,True (Target evaluated after asof_date)
2024-07-05 10:05:00,7070.0,0.0,0.0,-0.0,0.0,2024-07-05 10:10:00,True (Target evaluated after asof_date)
2024-07-05 10:10:00,7069.0,-0.0001,-0.0001,-0.0016,0.0,2024-07-05 10:15:00,True (Target evaluated after asof_date)
2024-07-05 10:15:00,7058.9,-0.0014,-0.0016,-0.0037,0.0,2024-07-05 10:20:00,True (Target evaluated after asof_date)
2024-07-05 10:20:00,7046.1,-0.0018,-0.0034,-0.0034,1.0,2024-07-05 10:25:00,True (Target evaluated after asof_date)
2024-07-05 10:25:00,7053.8,0.0011,-0.0022,-0.0023,0.0,2024-07-05 10:30:00,True (Target evaluated after asof_date)
2024-07-05 10:30:00,7059.0,0.0007,0.0,-0.0016,0.0,2024-07-05 10:35:00,True (Target evaluated after asof_date)
2024-07-05 10:35:00,7050.15,-0.0013,0.0006,-0.0028,0.0,2024-07-05 10:40:00,True (Target evaluated after asof_date)
2024-07-05 10:40:00,7050.6,0.0001,-0.0005,-0.0026,0.0,2024-07-05 10:45:00,True (Target evaluated after asof_date)
2024-07-05 10:45:00,7048.85,-0.0002,-0.0014,-0.0014,0.0,2024-07-05 10:50:00,True (Target evaluated after asof_date)
2024-07-05 10:50:00,7050.0,0.0002,-0.0,0.0006,0.0,2024-07-05 10:55:00,True (Target evaluated after asof_date)
2024-07-05 10:55:00,7050.1,0.0,-0.0001,-0.0005,0.0,2024-07-05 11:00:00,True (Target evaluated after asof_date)
2024-07-05 11:00:00,7045.0,-0.0007,-0.0005,-0.002,0.0,2024-07-05 11:05:00,True (Target evaluated after asof_date)
2024-07-05 11:05:00,7049.9,0.0007,-0.0,-0.0,0.0,2024-07-05 11:10:00,True (Target evaluated after asof_date)
2024-07-05 11:10:00,7044.0,-0.0008,-0.0009,-0.0009,0.0,2024-07-05 11:15:00,True (Target evaluated after asof_date)
2024-07-05 11:15:00,7043.0,-0.0001,-0.0003,-0.0008,0.0,2024-07-05 11:20:00,True (Target evaluated after asof_date)
2024-07-05 11:20:00,7046.6,0.0005,-0.0005,-0.0005,0.0,2024-07-05 11:25:00,True (Target evaluated after asof_date)
2024-07-05 11:25:00,7046.7,0.0,0.0004,-0.0005,0.0,2024-07-05 11:30:00,True (Target evaluated after asof_date)
2024-07-05 11:30:00,7045.45,-0.0002,0.0003,0.0001,0.0,2024-07-05 11:35:00,True (Target evaluated after asof_date)
2024-07-05 11:35:00,7045.7,0.0,-0.0001,-0.0006,0.0,2024-07-05 11:40:00,True (Target evaluated after asof_date)
2024-07-05 11:40:00,7040.0,-0.0008,-0.001,-0.0006,0.0,2024-07-05 11:45:00,True (Target evaluated after asof_date)
2024-07-05 11:45:00,7040.45,0.0001,-0.0007,-0.0004,0.0,2024-07-05 11:50:00,True (Target evaluated after asof_date)
2024-07-05 11:50:00,7040.6,0.0,-0.0007,-0.0009,0.0,2024-07-05 11:55:00,True (Target evaluated after asof_date)
2024-07-05 11:55:00,7037.0,-0.0005,-0.0004,-0.0014,0.0,2024-07-05 12:00:00,True (Target evaluated after asof_date)
2024-07-05 12:00:00,7034.0,-0.0004,-0.0009,-0.0016,0.0,2024-07-05 12:05:00,True (Target evaluated after asof_date)
2024-07-05 12:05:00,7036.85,0.0004,-0.0005,-0.0013,0.0,2024-07-05 12:10:00,True (Target evaluated after asof_date)
2024-07-05 12:10:00,7034.0,-0.0004,-0.0004,-0.0009,0.0,2024-07-05 12:15:00,True (Target evaluated after asof_date)
